"","day","time","Power.MW."
"308","11/04/06","09:00",74.9
"309","11/05/06","09:00",36.4
"310","11/06/06","09:00",70.7
"311","11/07/06","09:00",78.4
"312","11/08/06","09:00",61.2
"313","11/09/06","09:00",74.1
"314","11/10/06","09:00",73.4
"315","11/11/06","09:00",77.3
"316","11/12/06","09:00",54.3
"317","11/13/06","09:00",24.5
"318","11/14/06","09:00",54
"319","11/15/06","09:00",54.4
"320","11/16/06","09:00",36
"321","11/17/06","09:00",35.9
"322","11/18/06","09:00",76.4
"323","11/19/06","09:00",51.9
"324","11/20/06","09:00",74.7
"325","11/21/06","09:00",5.3
"326","11/22/06","09:00",72.4
"327","11/23/06","09:00",58.4
"328","11/24/06","09:00",69.6
"329","11/25/06","09:00",73.7
"330","11/26/06","09:00",38.7
"331","11/27/06","09:00",39.6
"332","11/28/06","09:00",64.2
"333","11/29/06","09:00",75.3
"334","11/30/06","09:00",59.3
"335","12/01/06","09:00",55.6
"336","12/02/06","09:00",60.2
"337","12/03/06","09:00",71.9
"338","12/04/06","09:00",68.9
"339","12/05/06","09:00",66.7
"340","12/06/06","09:00",64.4
"341","12/07/06","09:00",66.3
"342","12/08/06","09:00",0.6
"343","12/09/06","09:00",58.9
"344","12/10/06","09:00",1.7
"345","12/11/06","09:00",52.8
"346","12/12/06","09:00",59.2
"347","12/13/06","09:00",27.6
"348","12/14/06","09:00",27.9
"349","12/15/06","09:00",25.4
"350","12/16/06","09:00",67.8
"351","12/17/06","09:00",54.8
"352","12/18/06","09:00",69.5
"353","12/19/06","09:00",61.5
"354","12/20/06","09:00",63.9
"355","12/21/06","09:00",41.4
"356","12/22/06","09:00",1
"357","12/23/06","09:00",24.9
"358","12/24/06","09:00",36.9
"359","12/25/06","09:00",57.7
"360","12/26/06","09:00",44.3
"361","12/27/06","09:00",0.5
"362","12/28/06","09:00",61.6
"363","12/29/06","09:00",63.5
"364","12/30/06","09:00",60.8
"365","12/31/06","09:00",46.6
